talk,link,talk_type,review_count,status,abstract,notes,private_notes,reviewers,average_review_score
Nechey: Implementing an Image Upload and Processing Feature in Django,https://cfp-2023.djangocon.africa/admin/talks/talk/32/change/,Regular talk - 45 minutes,1,S,"<p>Abstract:</p>
<p>The implementation of an image upload and processing feature in Django is a crucial aspect of modern web applications. This abstract explores the steps involved in building such a feature using Django's powerful tools and libraries.</p>
<p>The process begins by configuring Django to handle file uploads and defining a model to store information about the uploaded images. A custom form is created to facilitate the image upload, and validation mechanisms are put in place to ensure that only valid image files are accepted.</p>
<p>To enhance user experience and improve functionality, image processing capabilities are integrated. Libraries like Pillow or OpenCV are utilized to resize, crop, apply filters, or perform other transformations on the uploaded images. These processed images are then stored securely in the designated media storage location.</p>
<p>Displaying the uploaded and processed images to users is accomplished by implementing views and templates. The Django template system is leveraged to render the images in HTML, providing an intuitive and visually appealing interface.</p>
<p>Moreover, the abstract highlights the importance of allowing users to manage their uploaded images effectively. This includes features such as editing, deleting, and organizing images into albums, ensuring a comprehensive image management solution within the Django web application.</p>
<p>By following these steps, developers can successfully implement an image upload and processing feature in Django, empowering users to seamlessly upload, process, and manage their images while enhancing the overall functionality and user experience of the web application.</p>",,,sheena,1.0
Nechey: Implementing User Authentication and Authorization in Django,https://cfp-2023.djangocon.africa/admin/talks/talk/33/change/,Regular talk - 25 minutes,1,S,"<p>Abstract:</p>
<p>Implementing user authentication and authorization is a fundamental requirement for building secure web applications. This abstract explores the process of incorporating user authentication and authorization in Django, a powerful Python web framework.</p>
<p>Django provides robust tools and features that streamline the implementation of user authentication and authorization. The built-in authentication system includes a User model, which serves as the foundation for managing user accounts. Developers can extend this model or utilize its default fields to store user credentials, such as usernames, passwords, and email addresses.</p>
<p>To implement user authentication, Django offers pre-built views and forms that handle registration, login, logout, and password reset functionalities. These views and forms seamlessly integrate with the User model, allowing developers to create intuitive user interfaces for authenticating users.</p>
<p>Furthermore, Django's authorization capabilities enable developers to define access controls and permissions for different user roles. By leveraging Django's authentication middleware and decorators, developers can restrict access to specific views, allowing only authorized users to perform certain actions or access restricted areas of the application.</p>
<p>The abstract also emphasizes the importance of securing user data through proper authentication and authorization mechanisms. Django's authentication system employs industry-standard techniques, such as password hashing and salting, to ensure the confidentiality and integrity of user credentials.</p>
<p>In summary, implementing user authentication and authorization in Django involves leveraging the framework's built-in tools, views, and models. By incorporating these features, developers can create secure web applications that authenticate users, enforce access controls, and protect sensitive user data, providing a reliable and trustworthy user experience.</p>",,,sheena,0.25
Kwadwo: Django + Streamlit: Supercharging Your Data Applications,https://cfp-2023.djangocon.africa/admin/talks/talk/34/change/,Regular talk - 25 minutes,1,S,"<p>Streamlit is an exceptional platform that enables the effortless creation of live data science and visualization projects within minutes. However, being a relatively young platform with a growing community, it lacks certain essential software engineering features necessary for building robust applications.</p>
<p>In this talk, using interesting use cases, I will demonstrate how Python data professionals can rapidly deploy their data and other projects using Streamlit, while leveraging the comprehensive capabilities of Django, such as authentication, user management, and database access, to augment Streamlit's limitations.</p>
<p>This talk caters not only to Django developers seeking to enhance their data manipulation and visualization capabilities but also to data scientists, data engineers, and researchers looking to launch their visualizations, analyses, and dashboards in a secure and robust environment.</p>",,,sheena,2.0
Atieno: DRY and Efficient: QuerySet Optimization Techniques in Django,https://cfp-2023.djangocon.africa/admin/talks/talk/35/change/,Regular talk - 25 minutes,2,S,"<p>In software development,the Don't Repeat Yourself (DRY) principle is a crucial standard in writing clean and maintainable code. However, achieving both DRYness and query efficiency can be challenging when working with complex database queries. In this enlightening talk, we will explore advanced QuerySet optimization techniques in Django that not only conform to the DRY principle but also improve query performance.</p>
<p>During the session, we will delve into the concept of DRY programming and its significance in Django development. Attendees will gain insights into the principles of code reuse, minimizing redundancy, and maximizing code maintainability.I will mainly focus on QuerySet optimization techniques that align with the DRY principle to minimize database queries, reduce redundant data retrieval, and consolidate query logic efficiently.</p>
<p>Moreover, we will discuss strategies for modularizing and reusing complex query logic using custom QuerySet methods and model managers. Attendees will understand how to encapsulate frequently used query patterns into reusable components, promoting DRYness and query efficiency across the project.</p>
<p>By the end of this talk, my audience will be equipped with practical knowledge and  techniques to write efficient, reusable, and maintainable database queries, elevating the overall quality of their Django applications. We sure can embrace DRYness without compromising on query performance!</p>",,,"hamub
Anna",2.0
larymak: Supercharging Django Development: Leveraging Open Source Tools and Best Practices,https://cfp-2023.djangocon.africa/admin/talks/talk/36/change/,Regular talk - 45 minutes,1,S,"<p>In this talk, we will explore how to supercharge your Django development process by leveraging open-source tools and adopting best practices. Whether you're a beginner or an experienced Django developer, this session will provide valuable insights to optimize your workflow, enhance code quality, and streamline collaboration within the Django community.</p>
<p><strong>Key areas of discussion will include:</strong>   </p>
<ul>
<li>Automating workflows with Django extensions: Exploring popular Django extensions and tools that automate common tasks, such as database migrations, testing, and debugging, to boost productivity and reduce development time.</li>
<li>Scaling Django applications: Strategies for optimizing performance, handling increased traffic, and scaling Django applications to meet growing demands, including caching techniques, load balancing, and database optimization.</li>
<li>Collaboration and version control with Git: Best practices for using Git as a version control system to manage collaborative Django projects, handle code reviews, and streamline deployment processes.</li>
<li>Testing and quality assurance: Deep dive into testing methodologies for Django applications, including unit tests, integration tests, and test-driven development (TDD), to ensure robustness and maintainable code.</li>
<li>Security practices in Django development: Essential security considerations, such as protecting against common web vulnerabilities, implementing authentication and authorization, and safeguarding sensitive data.</li>
</ul>
<p>By incorporating these open-source tools and best practices into your Django development workflow, you can elevate the quality, efficiency, and scalability of your projects, while actively contributing to the Django community's growth.</p>",,,sheena,1.5
benjamin6300: Community Catalyst: Unleashing Strategies to Build a Thriving Developer Community,https://cfp-2023.djangocon.africa/admin/talks/talk/37/change/,Regular talk - 25 minutes,1,S,"<p>In the rapidly evolving tech industry, a thriving developer community is a catalyst for innovation, collaboration, and professional growth. This presentation aims to provide community managers and leaders with effective strategies to build and nurture a dynamic developer community. By serving as a catalyst, community managers can foster engagement, create a supportive environment, and attract new members. The session will delve into key strategies such as cultivating a vibrant community culture, implementing engaging activities and events, leveraging effective communication channels, providing valuable resources and mentorship, and adapting to evolving needs. Through insightful discussions, practical examples, and actionable insights, attendees will gain the knowledge and tools needed to become successful community catalysts. I will be glad to uncover the strategies that empower community managers to build a thriving developer community that drives progress and fuels professional success in the ever-evolving tech landscape.</p>",,,sheena,1.5
harunmbaabu: Unlocking the Power of Django: Building Intelligent Web Applications with Django,https://cfp-2023.djangocon.africa/admin/talks/talk/38/change/,Regular talk - 45 minutes,1,S,"<p>Unlocking the Power of Django: Building Intelligent Web Applications with Django is a captivating talk that dives into the possibilities of leveraging Django, the robust Python web framework, for developing intelligent and data-driven web applications. This talk is designed for data scientists, web developers, and tech enthusiasts seeking to harness Django's capabilities. Attendees will gain valuable insights into integrating data science techniques, leveraging libraries, and deploying machine learning models within Django, enabling them to build sophisticated web applications that drive data-driven decision-making and innovation.</p>",,,sheena,1.75
kojo_shaddy: Leveraging Artificial Intelligence for Sustainable Development in Africa,https://cfp-2023.djangocon.africa/admin/talks/talk/39/change/,Regular talk - 25 minutes,1,S,"<p>In order to address important social, economic, and environmental concerns in Africa, this session examines the transformative potential of artificial intelligence (AI). African nations have the chance to open up fresh growth opportunities and come up with ground-breaking answers to persistent problems by utilizing AI technologies. The talk explores how AI is being applied in a variety of fields and considers how it can affect the growth of Africa. This session intends to motivate and encourage audiences to embrace AI as a potent weapon for bringing about positive change in Africa by exhibiting real-world examples and success stories.</p>",,,sheena,1.0
mkalioby: Passkeys on Django,https://cfp-2023.djangocon.africa/admin/talks/talk/40/change/,Regular talk - 25 minutes,2,S,"<p>Web Authentication API (WebAuthn) is a phishing-proof technology that is expected to replace passwords. The technology is available since 2019, but in 2022, Apple, Google, and Microsoft agreed to support Passkeys, solving challenges facing the wide deployment of WebAuthn API. Passkeys is an extension to WebAuthn that allows the user to use a key credential stored in a device to log in on another device. e.g. you can use the key stored on your phone to log in on a browser on a Windows device. The communication is done over Bluetooth Low Energy (BLE). Passkeys are now supported on iOS/iPad 16, Mac OS X Ventura, and Andriod phones, and can be used by Chromium-based browsers and Safari. The talk will cover the following 
* what is WebAuthn and how it is phishing resistant even during a man-in-the-middle attack, 
* challenges in WebAuthn, 
* what are Passkeys and how they solved WebAuth challenges, 
* State of Passkeys, 
* Demo the usage of passkeys and their user experience. 
* How to integrate passkeys in your current Django project by django-passkeys.</p>",,,"sheena
Anna",1.875
Oluwadamisola: Django in the world of Large Language Models (LLMs),https://cfp-2023.djangocon.africa/admin/talks/talk/41/change/,Regular talk - 45 minutes,1,S,"<p>This talk will address participants on how capabilities of LLMs can be utilized when creating intelligent applications in Django. 
The aim of the talk to address LLMs from (Django) developer point of view. </p>
<p>The intended audience for this talk includes machine learning engineers, data engineers, and software engineers interested in machine learning and AI.</p>
<p>The talk will provide a comprehensive understanding of LLMs (by introducing foundational concepts in Machine Learning and Natural Language Processing  such as prompting, model fine-tuning, hallucinations, input context size, embeddings, etc will be discussed).
This talk will also include discussion on open source tools that can facilitate LLMs integration with Django, how LLMs can learn from a custom knowledge base via embeddings, deployment strategies, prominent challenges encountered when utilizing LLMs and how the challenges can be mitigated. </p>
<p>By attending, participants will acquire detailed knowledge of the underlying concepts behind LLMs, learn about open-source tools that enhance LLMs integration, and explore strategies for deploying their own custom Machine Learning applications in Django.</p>",,,sheena,1.5
Lincoln: The art of building a successful API,https://cfp-2023.djangocon.africa/admin/talks/talk/42/change/,Regular talk - 45 minutes,2,S,"<p>Building a successful API is an art, comprising business analysis, technology architecture, software development, partnerships, content writing, developer relations, support and marketing and it takes a village to build a good, popular API that is business oriented.</p>
<p>In this talk, l aim to share best practices and theory for solid API design, how to build and maintain a developer ecosystem around an API and this will help in cultivating a business mindset for any one willing to become a tech entrepreneur.The target audience is software developers, developer community managers and anyone into software engineering for business with a belief that this talk could give them a new insight in their operations.</p>",,,"Anna
sheena",1.875
Lincoln: Architectural strategy for designing and building scalable applications.,https://cfp-2023.djangocon.africa/admin/talks/talk/43/change/,Regular talk - 45 minutes,1,S,"<p>Scaling from zero to millions of users is at the heart of every business oriented company and more oftenly writing highly scalable, efficient, reliable and maintainable systems is a hard nut to crack making many enterprises not achieve their business goals.</p>
<p>So the objective of this talk is to provide solid knowledge, techniques and best practices in building scalable distributed systems and also stretch a step by step illustrative and detailed framework engineers and architects can follow to design and build systems that support a single user and gradually scale to serve millions of users. The target audience is software developers and architects.</p>",,,sheena,1.75
oiadebayo: From the perspective of your Computer: Algorithm Design and Debugging,https://cfp-2023.djangocon.africa/admin/talks/talk/45/change/,Regular talk - 45 minutes,1,S,"<h2>Background:</h2>
<p>Technology is how we use scientific knowledge to address challenges in the real world. Every piece of code must be developed with the intention of solving a problem in the real world. Making products with the solution as the emphasis is one of the most difficult aspects of being a developer, especially for new and somewhat experienced developers. Nowadays, writing computer programs is typically self-taught or learned at one's own pace, so the teaching-learning process concentrates more on the syntax and structure of the programs and occasionally overlooks simple but crucial components, such as algorithm design and the ability to debug codes without ""syntax errors"". Sometimes while designing algorithms, we fail to consider the procedure from the ""perspective of a computer,"" and this is typically the pathway that yields unexpected results. In order to repair such a defect, you must analyze your solution from the standpoint of your program. Therefore, it is crucial to approach algorithm design and debugging with computational thinking, which deviates slightly from our natural human ways. We need to go from a way of thinking that ignores unimportant choices and details in favor of the key ones to a methodical way of thinking that prioritizes significant ideas while paying close attention to small ones.</p>
<h2>Aim:</h2>
<p>The purpose of this session is to expose the audience to algorithmic and computational thinking and to emphasize how these concepts are used in algorithm design and debugging.</p>
<h2>Target Audience:</h2>
<p>Programmers at the beginner and intermediate levels who are motivated to develop better solutions.</p>",,,sheena,1.5
marianomugana: Being Developer not being,https://cfp-2023.djangocon.africa/admin/talks/talk/46/change/,Regular talk - 25 minutes,1,S,"<p>The challenges and experiences.
The purpose of my lecture is to share and present a controversial story that is thought to be the normal day-to-day of a developer course vs the reality lived based on the needs that we find in the workplace.</p>
<p>The conversation basically goes around the challenges experienced and a funny story from the point of view of other professionals about what IT really does in their work.</p>","I would like to share that I do not have good ability with the English language.

I'm intermediate in the level of English.",,hamub,0.0
briankay: Optimizing Django for Performance: Tips and Best Practices,https://cfp-2023.djangocon.africa/admin/talks/talk/47/change/,Regular talk - 25 minutes,2,S,"<p>In this exciting presentation, developers of all stripes will be taken on a thrilling journey into the world of Django speed optimization. Our target audience consists of Django fans and web application developers, and they will learn a wealth of useful information that can be applied right away to improve their work.</p>
<p>Participants will leave with an in-depth knowledge of the many database queries, views, templates, and static files that contribute to Django applications' performance bottlenecks. With this understanding under their belts, they will be able to find a variety of tried and true ideas and best practices that will enable them to eradicate these bottlenecks and propel their applications to new heights of speed and efficiency.</p>
<p>The session will cover a wide range of issues, from sophisticated query optimization and caching strategies to cutting-edge rendering methods. In addition, participants will learn how to leverage profiling tools and ingenious techniques to wring every last drop of speed from their Django software. To further improve responsiveness and manage huge workloads, we will also investigate asynchronous programming and parallel processing, delving into tools like Django Channels and Celery. Finally, we'll discuss scaling techniques, giving attendees a leg up on being able to easily accommodate growing volumes of traffic and data.</p>
<p>After completing this course, participants will have the skills necessary to turn their Django applications into speed demons, providing users with unparalleled responsiveness and performance. Come with us on this life-altering journey as we help you realize the full potential of your Django projects and reach new heights in your programming abilities.</p>",Nothing really at this point in time. I just can't wait to meet all of you during the sessions,,"Anna
sheena",1.5
ashioyajotham: Machine learning model deployment using Django,https://cfp-2023.djangocon.africa/admin/talks/talk/48/change/,Tutorial/Workshop (2 - 4 hours),1,S,"<p>I'll go through Django's fundamentals and why it works so well for model deployment. Using the Django REST Framework, I'll show you how to create an API and deploy it to Heroku. For more flexibility, I'll also demonstrate how to containerize a Django application using Docker. I'll wrap up with talking about the best techniques for checking on, maintaining, and updating your model API.  I will start by briefly touching on Django's architecture, ORM and admin site then dive into how you can build an API using the Django REST framework; demonstrate building a basic model viewset, serializer and router for a ML model. Next, we will explore the best practices in maintaining your API such as logging, fixing bugs, retraining your model and how to safely update your API and finally we can look at the the different ways to deploy your API such as cloud and containerization through Docker.</p>
<p>Data scientists and software developers interested in implementing machine learning models would be my target audience for this session. Participants will gain practical knowledge on how to use the Django web framework to deploy a Python model to production at scale. At the end, participants will leave with a template they may use to easily produce their own models. My goal is to help students and practitioners alike, to understand how to ship their models to production, understand the challenges of deployment and how to overcome them.</p>",,,sheena,1.0
josylad: Beyond the Shell: Leveraging Django's Management Commands for Data Import,https://cfp-2023.djangocon.africa/admin/talks/talk/49/change/,Regular talk - 45 minutes,1,S,"<p>The talk, ""Beyond the Shell: Leveraging Django's Management Commands for Data Import,"" is designed to empower both beginners and intermediate Django developers with techniques for efficiently importing and managing data in their Django applications. The audience for this talk includes developers, data analysts, and anyone interested in learning how to streamline data import processes in Django.</p>
<p>Attendees can expect to gain an understanding of how to utilize Django's management commands beyond their conventional use for administrative tasks. They will learn how to leverage these commands to import data from various sources, such as TXT, CSV files and API integrations, into their Django app's database. By the end of the talk, participants will have a grasp of best practices, real-world examples, and strategies for optimizing the data import workflow in their applications.</p>
<p>The talk will cover a range of topics, including: </p>
<ul>
    <li>Introduction to Django's management commands and their role in data import.</li>
    <li>Techniques for loading data from different sources, and handling data transformations</li>
    <li>Validations, and integration of data import into the application's overall workflow.</li>
</ul>

<p>Whether attendees are new to Django or seasoned developers, this talk will equip them with valuable insights and actionable techniques to elevate their data import capabilities.</p>","Hello, 
I am open to alternative title suggestions.",,hamub,2.0
gconnect1: Building Blockchain Applications with Django: Integration with Celo,https://cfp-2023.djangocon.africa/admin/talks/talk/50/change/,Regular talk - 45 minutes,2,S,"<p>Abstract:
In this session, we will explore how Django, a versatile web framework, can be used to build powerful web applications that interact with the Celo blockchain. Celo is an open-source blockchain platform that focuses on financial inclusion and mobile accessibility. By showcasing code examples and best practices, attendees will gain a comprehensive understanding of integrating Django with Celo to develop secure and inclusive blockchain applications.</p>
<p>Key Points to Cover:</p>
<p>Introduction to Django and its suitability for Celo blockchain development:</p>
<p>Overview of Django's features, flexibility, and rapid development capabilities.
Highlight the benefits of using Django for building Celo blockchain applications.
Understanding Celo:</p>
<p>Introduction to the Celo blockchain platform and its mission for financial inclusion.
Exploring Celo's key components, including the Celo blockchain, Celo Native Assets, and Celo smart contracts.
Setting up the Development Environment:</p>
<p>Installing and configuring Django with the necessary dependencies.
Integration of Celo-specific libraries and tools for interacting with the Celo blockchain.
Interacting with the Celo Blockchain in Django:</p>
<p>Utilizing the Celo JavaScript SDK or other Celo-specific libraries for Django.
Connecting to the Celo blockchain and interacting with smart contracts.
Managing account balances, transferring Celo assets, and executing contract functions.
Building Secure and Inclusive Celo Applications in Django:</p>
<p>Implementing secure authentication and authorization mechanisms in Django applications.
Exploring decentralized identity (DID) concepts for user management.
Leveraging Celo's mobile-first approach to develop mobile-friendly applications.
Design Patterns and Best Practices:</p>
<p>Following Django's MVC architecture and best practices for Celo integration.
Handling asynchronous events, transaction confirmations, and ensuring data consistency.
Addressing security considerations and protecting private keys or user data.
Testing and Deployment:</p>
<p>Strategies for testing Celo-integrated Django applications.
Deployment options and considerations for production-ready applications.
Real-world Use Cases and Examples:</p>
<p>Showcasing practical examples of Django applications integrating with the Celo blockchain.
Demonstrating how Celo integration brings financial inclusion and accessibility to web applications.
Future Trends and Challenges:</p>
<p>Discussing emerging trends in Celo blockchain technology and their impact on Django development.
Addressing challenges related to scalability, mobile compatibility, and evolving Celo standards.</p>
<p>By the end of this session, attendees will gain a solid understanding of how to integrate Django with the Celo blockchain, enabling them to build secure, inclusive, and financially inclusive applications. They will be equipped with code examples, best practices, and resources to kickstart their own Celo blockchain development journey with Django.</p>",,,"sheena
Lidya_",1.375
thedsgnsam: Design Systems and Component Libraries: Streamlining the Collaboration between Design and Development,https://cfp-2023.djangocon.africa/admin/talks/talk/16/change/,Regular talk - 45 minutes,1,S,"<p>The talk will be targeted primarily at software developers, web developers, and technical leads who collaborate with designers or have an interest in the design side of product development. It will also be of value to anyone working within a multidisciplinary product team, including UX/UI designers, product owners, and project managers. </p>
<p>Participants will gain a deeper understanding of design systems and component libraries and how they can serve as a bridge between design and development teams. They will learn the value these tools bring in terms of creating a shared language, promoting consistency across platforms, and reducing design-debt. Furthermore, attendees will get insights into how these resources can streamline their workflows, reduce redundancies, and accelerate the development process. By leveraging design systems and component libraries, developers will be better equipped to create visually consistent, high-quality, and scalable user interfaces, improving the overall product quality and user experience.</p>
<p>This presentation will explore the concept and importance of design systems and component libraries in the realm of digital product development. It will delve into how these resources can improve efficiency, consistency, and collaboration within the development cycle. The talk will kick off with an introduction to design systems and component libraries, followed by a deep dive into their structure, the common tools used to build them, and real-world examples of successful implementations. We will then discuss strategies for successful adoption and maintenance of these resources, and how they can be used to facilitate better communication and collaboration between designers and developers. The talk will also cover potential challenges and pitfalls, providing practical tips on how to avoid them. Finally, we will engage the audience with an interactive Q&amp;A session to answer any lingering questions and share experiences.</p>",,,k,1.75
temidire-adams: Enhancing Django Application Security: A Comprehensive Approach to Automated Vulnerability Scanning,https://cfp-2023.djangocon.africa/admin/talks/talk/51/change/,Regular talk - 25 minutes,1,S,"<p>In the rapidly evolving landscape of web application security, ensuring the robustness of Django applications is of utmost importance. This talk will delve into the realm of automated vulnerability scanning and explore a comprehensive approach to enhance the security of Django applications. By leveraging cutting-edge techniques and tools, attendees will gain practical insights into identifying and addressing vulnerabilities effectively.</p>
<p>Target Audience: This talk is intended for Django developers, security professionals, and anyone interested in understanding the significance of automated vulnerability scanning in Django application security. Attendees should have a basic understanding of web application security concepts and familiarity with Django development.</p>
<p>Expected Takeaways:
1. Understanding the role of automated vulnerability scanning in Django application
security.
2. Knowledge of famous vulnerability scanning tools and their integration with Django
workflows.
3. Techniques for analyzing and prioritizing vulnerabilities identified by automated scans.
4. Strategies for effectively mitigating vulnerabilities in Django applications.
5. Insights into integrating vulnerability scanning into CI/CD pipelines and establishing continuous monitoring practices.</p>","Description: In this talk, we will explore the realm of automated vulnerability scanning and its significance in Django application security. We will discuss the challenges developers face in identifying and mitigating vulnerabilities, and how automated scanning tools like Probely help to alleviate these challenges. Throughout the session, we will emphasize a comprehensive approach to application security, encompassing the identification, analysis, and remediation of vulnerabilities.

Key Points:
1. Introduction to automated vulnerability scanning: Understand the importance of automated scanning tools in identifying and addressing security vulnerabilities in Django applications.
2. Common vulnerabilities in Django: Explore the most prevalent vulnerabilities that Django applications are susceptible to, such as cross-site scripting (XSS), SQL injection, and cross-site request forgery (CSRF).
3. Leveraging automated scanning tools Focus on Probely: Discover various automated vulnerability scanning tools available in the market.
4. Implementing a vulnerability scanning strategy: Learn how to establish a comprehensive vulnerability scanning strategy for Django applications, including setting up regular scans and incorporating them into the development lifecycle.
5. Analyzing scan results: Understand how to interpret the output of automated vulnerability scans and prioritize identified vulnerabilities based on their severity.
6. Remediation techniques: Explore effective strategies and techniques for mitigating vulnerabilities in Django applications, including secure coding practices, patch management, and third-party library analysis.
7. Continuous monitoring and improvement: Discuss the importance of ongoing vulnerability scanning and monitoring in Django projects and how it contributes to the overall security posture.
8. Case studies and real-world examples: Showcase success stories of Django applications that have implemented automated vulnerability scanning, highlighting the benefits and outcomes.
9. Integrating vulnerability scanning into CI/CD pipelines: Learn how to seamlessly incorporate automated vulnerability scanning into the continuous integration and deployment process of Django applications.
10. Best practices for Django application security: Share essential security best practices specific to Django development that complement the use of automated scanning tools.",,Anna,2.0
Oma: Building Your Tech Career through Open Source Contributions,https://cfp-2023.djangocon.africa/admin/talks/talk/71/change/,Regular talk - 45 minutes,0,S,"<p>In the tech space, open-source contributions are one of the most potent pathways for building a successful and rewarding tech career. In this talk, we will dive into open source and its potential to shape your professional journey. Discover how your involvement in open-source projects can accelerate your growth, expand your skill set, and unlock exciting opportunities.</p>
<p>Open source contributions offer a unique avenue to showcase your abilities, collaborate with top-notch developers, and make a tangible impact on real-world projects. By exploring the importance of open source in the tech industry, this talk sheds light on how active participation in open-source communities can enhance your visibility, increase your technical expertise, and establish your reputation as a sought-after professional.</p>
<p>Get ready to uncover practical tips and tricks that will empower you to confidently navigate the open-source landscape. From selecting suitable projects to make meaningful contributions to effectively leveraging version control systems and collaborative workflows, this session equips you with actionable insights. </p>
<p>By attending this engaging talk, you will gain a clear understanding of the tremendous benefits of open-source contributions to your tech career. Whether you are a seasoned developer or just starting, you'll leave with actionable strategies to leverage open source effectively, accelerate your learning, and propel your professional growth. Unlock the immense potential of open source and harness it as a powerful tool for building a successful tech career.</p>",,,,
"sja: Streamlining our Django Deployment Using Pulumi, and GitHub Actions",https://cfp-2023.djangocon.africa/admin/talks/talk/52/change/,Tutorial/Workshop (2 - 4 hours),1,S,"<p>In this workshop, participants will dive into the process of deploying Django applications to AWS using the combined power of Python, Pulumi, and GitHub Actions. We will explore a comprehensive approach to building, deploying, and automating Django applications on AWS cloud infrastructure.</p>
<p>During the workshop, participants will gain hands-on experience and practical insights into leveraging these technologies to streamline the deployment workflow and ensure the scalability, reliability, and security of their Django applications. Participants will learn how to use python code to create cloud infrastructure on AWS and deploy a highly available Django application using a CI/CD pipeline with the help of GitHub Actions</p>",,,Anna,2.0
Oluwatayo: Django; it's history and it's uniqueness,https://cfp-2023.djangocon.africa/admin/talks/talk/53/change/,Regular talk - 25 minutes,2,S,"<p>Django may well not be as popular a programming language as the likes of Python, JavaScripts and others, but it is a special language with it's uniqueness which lies in it's versatility.
Whether you are a seasoned Django programmer or just starting out, the talk would provide you with plenty evidence and motivation to expand the realms of what is possible with Django and explore as well as appreciate it's versatility.</p>",A bit of biography and documentary video,,"Anna
hamub",1.5
Kandoza: Build a Python HTML Parser for Web Scraping,https://cfp-2023.djangocon.africa/admin/talks/talk/31/change/,Tutorial/Workshop (2 - 4 hours),1,S,"<p>Web scraping, also called web data mining or web harvesting, is the process of constructing an agent which can extract, parse, download and organize useful information from the web automatically. Web scraping starts with sending HTTP requests, such as POST or GET, to a website’s server, which returns a response containing the needed data. The uses and reasons for using web scraping are as endless as the uses of the World Wide Web. Web scrapers can do anything, just like a human can do, like ordering online food, scanning online shopping website for you, collect the data specially related to the price of a specific product from various e-commerce websites for their comparison, buying ticket of a match the moment they are available as well as researchers can collect useful data for the purpose of their research work by saving their time by this automated process. </p>
<p>The workshop will cover the basics of using BeautifulSoup module for web scraping in Python. BeautifulSoup allows you to navigate and search through HTML documents easily, extract the required data, and process it for your desired use. </p>
<p>Audience:</p>
<p>Intermediate, advanced</p>
<p>Outcomes:</p>
<p>Understanding on how to work with html tags, attributes.</p>
<p>Being comfortable with scraping various types of websites and their data.</p>
<p>learning to scrape, analyse the scraped data and then make use of them after.</p>
<p>Understanding the website's terms of service and legal considerations before scraping any website and be respectful of the website's resources by not overwhelming it with excessive requests.</p>",None,,hamub,0.25
@Nneoma_Grace: LEGAL RISKS AND ETHICAL CONSIDERATIONS IN AI-POWERED DJANGO AND PYTHON APPLICATIONS,https://cfp-2023.djangocon.africa/admin/talks/talk/54/change/,Regular talk - 45 minutes,1,S,"<p>This topic explores the legal and ethical dimensions of AI development in the context of Django and Python applications, and it is designed for technology professionals, business developers, and tech enthusiasts.</p>
<p>The session will delve into key niches, including an introduction to AI in Django and Python applications, an overview of legal frameworks and regulations for AI, ethical dimensions of AI development, mitigating legal risks, building ethical AI systems, case studies, and best practices. Real-world examples and interactive discussions will be incorporated to enhance understanding and promote active engagement. </p>
<p>By examining the legal and ethical implications of AI, attendees will learn how to identify and address potential legal risks, enhance compliance with relevant regulations, understand the importance of responsible innovation and its impact on user trust, societal impact, and ethical decision-making, and make informed decisions to foster ethical AI development using Python and Django. They will leave the session empowered to make informed choices, implement best practices, and contribute to a responsible and sustainable AI ecosystem.</p>","Despite the fact that this Conference focuses on Python and Django, and is aimed at technology professionals and enthusiasts, I believe that the inclusion of a legal aspect, particularly one that addresses artificial intelligence, is pertinent to the overall development of any programmer.",,Anna,2.0
roving_heights: Improving Web API Performance,https://cfp-2023.djangocon.africa/admin/talks/talk/55/change/,Regular talk - 25 minutes,1,S,"<p>The talk will highlight practical tips on improving the performance of Rest APIs, focusing on Django/Django Rest Framework (DRF). It will target developers of all experience levels, though familiarity with DRF will be helpful in following the material but not required. At the end of the talk, attendees will get a better understanding of what to focus on when building high-performance APIs; they will learn more about how querysets work in Django, how to get ORM lookups right in your Rest API, reduce database hits through caching, etc.</p>",,,Anna,2.0
Anna: Navigating the Open-Source World as a Minority,https://cfp-2023.djangocon.africa/admin/talks/talk/56/change/,Regular talk - 45 minutes,1,S,"<p>One thing I didn’t know when I chose to pursue a degree in Computer Science was that I had chosen to be part of a minority group in a male-dominated field. Throughout my studies and the first few years of my career, women were about 10% of the population. I thought this was only prevalent in Africa - but oh no, I was so wrong. My first international conference in Europe was a shocker for me, the first thing I noticed when I walked into a room was that there were so many white males and a few other populations. </p>
<p>There were fewer women and fewer people of colour generally, and that’s when I realised this was a global phenomenon that women are fewer in tech than men. However, women are not the only minority in the open-source community, they are just part of the underrepresented populations in tech. When you look at how many Africans are involved in open-source, you will realise that we are also a minority in the open-source community.
.<br>
In this talk, I will share my journey getting started in the open-source community, the challenges  I faced, the opportunities I got and the lessons learnt from this experience. I will also share the common pitfalls one should avoid while starting their open-source journey. More importantly, I will share my perspective on how the open-source community can be more welcoming to minorities.</p>","My idea is to help my fellow Africans get started contributing to the open-source community by either organising events or contributing code. The aim is to give them the information they need for travelling to open-source events, address visa issues and grant requests etc.",,sheena,1.75
